class_name,day,subject,teacher,room,number,time
2 класс,четверг,тренинг,Людмила,112,8,14:40-15:20
2 класс,четверг,"робототехника,  Аня - воспитатель",None,112,9,15:30-16:10
2 класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
2 класс,пятница,русский,Анастасия,112,1,09:00-09:45
2 класс,пятница,ИЗО,Наталья,113,2,09:55-10:35
2 класс,пятница,лит. чтение,Аня,112,3,10:50-11:30
2 класс,пятница,окр.мир,Анастасия,112,4,11:50-12:30
2 класс,пятница,английский,Анастасия,112,5,12:40-13:20
2 класс,пятница,обед (Аня),None,,6,13:30-14:10
2 класс,пятница,прогулка (Аня),None,,7,14:15-14:35
2 класс,пятница,физкультура,Марина,,8,14:40-15:20
2 класс,пятница,mr. Strok Шахматы Аня - воспитатель,None,112,9,15:30-16:10
2 класс,пятница,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
2 класс,пятница,nan,None,,11,17:10-17:50
3а класс,понедельник,русский язык,Елизавета,215,1,09:00-09:45
3а класс,понедельник,сербский язык,Анастасия,112,2,09:55-10:35
3а класс,понедельник,математика,Лариса,-11,3,10:50-11:30
3а класс,понедельник,английский,Инна,215,4,11:50-12:30
3а класс,понедельник,музыка,Мария,-21,5,12:40-13:20
3а класс,понедельник,обед (Наталья),None,,6,13:30-14:10
3а класс,понедельник,прогулка (Наталья),None,,7,14:15-14:35
3а класс,понедельник,ИЗО-студия Праздники Максим - воспитатель,None,215,8,14:40-15:20
3а класс,понедельник,пои ИЗО-студия Праздники Максим - воспитатель,None,215,9,15:30-16:10
3а класс,понедельник,ОФП Уходят домой Юля Д. в 01,None,,10,16:12-17:00
3а класс,вторник,русский язык,Елизавета,215,1,09:00-09:45
3а класс,вторник,ИЗО,Наталья,113,2,09:55-10:35
3а класс,вторник,математика,Лариса,01,3,10:50-11:30
3а класс,вторник,окружающий мир,Николай,-12,4,11:50-12:30
3а класс,вторник,литература,Елизавета,-11,5,12:40-13:20
3а класс,вторник,обед (Наталья),None,,6,13:30-14:10
3а класс,вторник,"робототехника,  прогулка (Наталья)",None,-12,7,14:15-14:35
3а класс,вторник,физкультура,Марина,,8,14:40-15:20
3а класс,вторник,Шахматы Наталья - воспитатель,None,215,9,15:30-16:10
3а класс,вторник,Шахматы Уходят домой Юля Д. в 01,None,,10,16:12-17:00
3а класс,среда,математика,Лариса,215,1,09:00-09:45
3а класс,среда,русский язык,Елизавета,215,2,09:55-10:35
3а класс,среда,тренинг,Людмила,215,3,10:50-11:30
3а класс,среда,литература,Елизавета,-11,4,11:50-12:30
3а класс,среда,английский язык,Инна,215,5,12:40-13:20
3а класс,среда,обед,None,,6,13:30-14:10
3а класс,среда,Луки прогулка (Наталья),None,,7,14:15-14:35
3а класс,среда,Кулинария Наталья - воспитатель,None,215,8,14:40-15:20
3а класс,среда,mr. Strok ТЕАТР Наталья - воспитатель,None,01,9,15:30-16:10
3а класс,среда,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
3а класс,четверг,литература,Елизавета,-12,1,09:00-09:45
3а класс,четверг,математика,Лариса,-11,2,09:55-10:35
3а класс,четверг,русский язык,Елизавета,215,3,10:50-11:30
3а класс,четверг,сербский язык,Анастасия,112,4,11:50-12:30
3а класс,четверг,английский,Инна,215,5,12:40-13:20
3а класс,четверг,обед   Наталья,None,,6,13:30-14:10
3а класс,четверг,"робототехника,  прогулка Наталья",None,,7,14:15-14:35
3а класс,четверг,творчество,Маша / труд,-21,8,14:40-15:20
3а класс,четверг,творчество,Маша / труд,-21,9,15:30-16:10
3а класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
3а класс,пятница,окружающий мир,Николай,-11,1,09:00-09:45
3а класс,пятница,русский язык,Елизавета,215,2,09:55-10:35
3а класс,пятница,английский,Инна,215,3,10:50-11:30
3а класс,пятница,каллиграфия,Мария Владимировна,215,4,11:50-12:30
3а класс,пятница,физкультура,Марина,,5,12:40-13:20
3а класс,пятница,обед (МАКСИМ),None,,6,13:30-14:10
3а класс,пятница,прогулка (Макс),None,,7,14:15-14:35
3а класс,пятница,арт. мастерская  Родион - воспитатель,None,"01 /
215",8,14:40-15:20
3а класс,пятница,mr. Strok арт. мастерская Шахматы  Наталья - воспитатель,None,"01 /
215",9,15:30-16:10
3а класс,пятница,Шахматы Уходят домой  Юля Д. в 01,None,,10,16:12-17:00
3а класс,пятница,nan,None,,11,17:10-17:50
3б класс,понедельник,английский,Инна,215-1,1,09:00-09:45
3б класс,понедельник,тренинг,Людмила,01,2,09:55-10:35
3б класс,понедельник,математика,Лариса,-11,3,10:50-11:30
3б класс,понедельник,сербский язык,Анастасия,112,4,11:50-12:30
3б класс,понедельник,русский язык,Елизавета,215-1,5,12:40-13:20
3б класс,понедельник,обед (Наталья),None,,6,13:30-14:10
3б класс,понедельник,прогулка (Наталья),None,,7,14:15-14:35
3б класс,понедельник,ИЗО-студия Праздники Максим - воспитатель,None,215-1,8,14:40-15:20
3б класс,понедельник,пои ИЗО-студия Праздники Максим - воспитатель,None,215-1,9,15:30-16:10
3б класс,понедельник,ОФП Уходят домой Юля Д. в 01,None,,10,16:12-17:00
3б класс,вторник,английский,Инна,215-1,1,09:00-09:45
3б класс,вторник,русский язык,Елизавета,215-1,2,09:55-10:35
3б класс,вторник,математика,Лариса,01,3,10:50-11:30
3б класс,вторник,окружающий мир,Николай,-12,4,11:50-12:30
3б класс,вторник,литература,Елизавета,-11,5,12:40-13:20
3б класс,вторник,обед (Наталья),None,,6,13:30-14:10
3б класс,вторник,"робототехника,  прогулка (Наталья)",None,-12,7,14:15-14:35
3б класс,вторник,физкультура,Марина,,8,14:40-15:20
3б класс,вторник,Шахматы Наталья - воспитатель,None,215-1,9,15:30-16:10
3б класс,вторник,Шахматы Уходят домой Юля Д. в 01,None,,10,16:12-17:00
3б класс,среда,математика,Лариса,215-1,1,09:00-09:45
3б класс,среда,каллиграфия,Мария Владимировна,215-1,2,09:55-10:35
3б класс,среда,английский,Инна,215-1,3,10:50-11:30
3б класс,среда,литература,Елизавета,-11,4,11:50-12:30
