class_name,day,subject,teacher,room,number,time
3а класс,вторник,окружающий мир,Николай,-12,4,11:50-12:30
3а класс,вторник,литература,Елизавета,-11,5,12:40-13:20
3а класс,вторник,обед (Наталья), ,,6,13:30-14:10
3а класс,среда,тренинг,Людмила,215,1,09:00-09:45
3а класс,среда,математика,Лариса,01,2,09:55-10:35
3а класс,среда,русский язык,Елизавета,215,3,10:50-11:30
3а класс,среда,литература,Елизавета,-11,4,11:50-12:30
3а класс,среда,английский язык,Инна,215,5,12:40-13:20
3а класс,среда,обед, ,,6,13:30-14:10
3а класс,четверг,литература,Елизавета,-12,1,09:00-09:45
3а класс,четверг,математика,Лариса,-11,2,09:55-10:35
3а класс,четверг,русский язык,Елизавета,215,3,10:50-11:30
3а класс,четверг,сербский язык,Анастасия,112,4,11:50-12:30
3а класс,четверг,английский,Инна,215,5,12:40-13:20
3а класс,четверг,обед   Наталья, ,,6,13:30-14:10
3а класс,пятница,окружающий мир,Николай,-11,1,09:00-09:45
3а класс,пятница,русский язык,Елизавета,215,2,09:55-10:35
3а класс,пятница,английский,Инна,215,3,10:50-11:30
3а класс,пятница,каллиграфия,Мария Владимировна,215,4,11:50-12:30
3а класс,пятница,физкультура,Денис,,5,12:40-13:20
3а класс,пятница,обед (МАКСИМ), ,,6,13:30-14:10
3б класс,понедельник,английский,Инна,215-1,1,09:00-09:45
3б класс,понедельник,тренинг,Людмила,01,2,09:55-10:35
3б класс,понедельник,математика,Лариса,-11,3,10:50-11:30
3б класс,понедельник,сербский язык,Анастасия,215-1,4,11:50-12:30
3б класс,понедельник,русский язык,Елизавета,215-1,5,12:40-13:20
3б класс,понедельник,обед (Наталья), ,,6,13:30-14:10
3б класс,вторник,английский,Инна,215-1,1,09:00-09:45
3б класс,вторник,русский язык,Елизавета,215-1,2,09:55-10:35
3б класс,вторник,математика,Лариса,01,3,10:50-11:30
3б класс,вторник,окружающий мир,Николай,-12,4,11:50-12:30
3б класс,вторник,литература,Елизавета,-11,5,12:40-13:20
3б класс,вторник,обед (Наталья), ,,6,13:30-14:10
3б класс,среда,английский,Инна,215-1,1,09:00-09:45
3б класс,среда,математика,Лариса,01,2,09:55-10:35
3б класс,среда,каллиграфия,Мария Владимировна,215-1,3,10:50-11:30
3б класс,среда,литература,Елизавета,-11,4,11:50-12:30
3б класс,среда,русский язык,Елизавета,215-1,5,12:40-13:20
3б класс,среда,обед, ,,6,13:30-14:10
3б класс,четверг,литература,Елизавета,-12,1,09:00-09:45
3б класс,четверг,математика,Лариса,-11,2,09:55-10:35
3б класс,четверг,английский,Инна,215-1,3,10:50-11:30
3б класс,четверг,русский язык,Елизавета,215-1,4,11:50-12:30
3б класс,четверг,ИЗО,Наталья,215-1,5,12:40-13:20
3б класс,четверг,обед   Наталья, ,,6,13:30-14:10
3б класс,пятница,окружающий мир,Николай,-11,1,09:00-09:45
3б класс,пятница,сербский язык,Анастасия,215-1,2,09:55-10:35
3б класс,пятница,русский язык,Елизавета,215-1,3,10:50-11:30
3б класс,пятница,музыка,Мария,-21,4,11:50-12:30
3б класс,пятница,физкультура,Денис,,5,12:40-13:20
3б класс,пятница,обед (МАКСИМ), ,,6,13:30-14:10
